Question,Options,Correct Answer,Predicted Answer,Match
Which of the following is NOT a common data format used for threat information exchange within information sharing communities?,"['CSV', 'XML', 'JJSON', 'None of the above']",D,C,False
Which technique involves creating or modifying registry keys to maintain persistence across system reboots?,"['Registry Run Keys (T1060)', 'Modify Registry (T1112)', 'Create or Modify System Process (T1128)', 'Scheduled Task (T1053)']",A,B,False
"Given a Diamond model, which of the following best describes “Victim Asset”?","['The people and organizations being targeted whose assets are being exploited and attacked.', ""A combination of the victim's vulnerabilities and exposures that are susceptible to exploitation."", 'The set of vulnerabilities and exposures of a victim susceptible to exploitation.', 'The attack surface and consist of the set of networks, systems, hosts, email addresses, IP addresses, social networking accounts, etc. against which the adversary directs their capabilities.']",D,D,True
Which technique involves adversaries using a splash screen to confirm user interaction before executing malicious code?,"['T1055', 'T1086', 'T1106', 'T1497']",D,B,False
Which MITRE ATT&CK technique is used to gain persistence by modifying the Windows Registry?,"['Registry Run Keys (T1060)', 'Software Packing (T1045)', 'Remote File Copy (T1105)', 'Credential Dumping (T1003)']",A,A,True
"Coordination and Information Sharing, Having an incident response team that includes representatives from different departments can improve the effectiveness of information sharing and coordination.","['A) True', 'B) False', 'C) Sometimes', 'D) It depends on the incident type']",A,A,True
Which technique involves using system services to execute commands or maintain persistence on a compromised system?,"['Service Registry (T1076)', 'Modify System Process (T1128)', 'Remote Code Execution (T1203)', 'Registry Run Keys (T1060)']",D,A,False
What is a potential outcome of US-CERT’s actions in a cybersecurity situation?,"['The targeted companies are able to prevent further attacks', 'The foreign actor is identified and prosecuted', 'The targeted companies are not affected by the attacks', 'The US-CERT is able to neutralize the threat by shutting down the servers used by the foreign actor']",D,D,True
Which of the following is NOT included in the scope of the document?,"['A. Adverse events that are computer security-related', 'B. Adverse events caused by natural disasters', 'C. Adverse events that are not computer security incidents', 'D. Adverse events that are not violations of computer security policies']",D,B,False
An adversary is using a password guessing attack against a target system. What might the adversary do to increase the chances of success if the system has multi-factor authentication in place?,"['Use a list of complex passwords', 'Use a list of common passwords', 'Use a list of system-specific passwords', 'Use a list of dictionary words']",B,C,False
Cyclops Blink has the ability to execute on device startup using which of the following techniques?,"['T1041', 'T1036', 'T1086', 'T1037']",D,B,False
"RS.IM-01, Conducting post-incident analysis and lessons learned","['A) Developing an incident response plan to manage detected cybersecurity incidents', 'B) Conducting incident response drills to prepare for potential cybersecurity incidents', 'C) Implementing security controls to prevent adverse events from occurring', 'D) Performing vulnerability scans to identify weaknesses in the system']",A,B,False
"What type of information sharing agreement is a standardized framework that implements the requirements set forth in Title 32 Code of Federal Regulations, Part 236, Sections 236.4 through 236.6?","['Memorandum of Understanding (MOU)', 'Non-Disclosure Agreement (NDA)', 'Framework Agreement', 'Service Level Agreement (SLA)']",C,C,True
A network flow analysis tool requires IP address replacement and transformation operations without breaking referential integrity. Which anonymization technique can be used to achieve this?,"['One-way hash function', 'Random replacement', 'Deterministic replacement', 'Pseudonymization']",C,C,True
What is the difference between staging and intended targets in the Dragonfly campaign?,"['Staging targets are intended targets, while intended targets are staging targets.', 'Staging targets are less secure networks of trusted third-party suppliers and related peripheral organizations, while intended targets are government networks and critical infrastructure.', 'Intended targets are less secure networks of trusted third-party suppliers and related peripheral organizations, while staging targets are government networks and critical infrastructure.', 'Staging targets are energy sector websites, while intended targets are industrial employees.']",B,C,False
"In the Diamond Model of Intrusion Analysis, what does the ""Adversary"" core feature describe?","[""A. The victim's vulnerabilities"", 'B. The techniques used in the attack', 'C. The entity conducting the attack', 'D. The infrastructure used']",C,C,True
Which of the following techniques is used by adversaries to modify user accounts in a Linux system?,"['passwd utility', 'Set-LocalUser PowerShell cmdlet', 'Net utility', 'Set-ADAccountPassword PowerShell cmdlet']",A,D,False
"Which of the following is a prose document that describes TTPs, actors, types of systems and information being targeted, and other threat-related information that provides greater situational awareness to an organization?","['Indicator', 'Tactics', 'Techniques', 'Threat Intelligence Report']",D,D,True
What is the role of Table 3-2 in NIST SP 800-122 [7] concerning threat information?,"['To outline methods for data encryption', 'To provide examples of sensitive data and handling recommendations', 'To list common threat indicators', 'To describe best practices for incident response']",B,B,True
Which of the following Event IDs indicates an attempt to change an account's password on a Windows system?,"['4726', '4723', '4724', '4725']",C,B,False
Which of the following is a recommended practice for improving the overall security posture of an organization according to NIST SP 800-61 Revision 2?,"['Conducting regular vulnerability scans without remediation of identified vulnerabilities', 'Establishing and maintaining a computer security incident response team (CSIRT)', 'Fully automating the incident response process without human intervention', 'Ignoring security alerts and alarms from security devices and systems']",B,B,True
Which of the following is NOT a time-based evasion tactic used by the LiteDuke malware?,"['A. Waiting 30 seconds before executing additional code if security software is detected', 'B. Making various calls to Native API functions in order to delay execution (API hammering)', 'C. Using a timer to execute malware on a specific date and time', 'D. Checking for analysis environments and signs of debugging using the Windows API kernel32!GetTickCountKernel32 call']",C,D,False
Which of the following is an example of a technical control in incident response?,"['Encryption', 'Training', 'Policy Development', 'Incident Response Plan']",A,D,False
"Which is infrastructure that is controlled by an intermediary, typically this is the infrastructure that a victim will see as the adversary?","['A. Type 1 Infrastructure', 'B. Type 2 Infrastructure', 'C. Service Providers', 'D. Type 3 Infrastructure']",B,B,True
Which NIST document provides guidelines specifically for protecting PII in the context of cybersecurity?,"['NIST SP 800-53 Rev. 4', 'NIST SP 800-171', 'NIST SP 800-122', 'NIST SP 800-30']",C,C,True
Which MITRE ATT&CK technique ID is associated with evading analysis and scrutiny using Multi-Stage Channels?,"['A. T1497.001', 'B. T1497.002', 'C. T1497.003', 'D. T1497.004']",C,D,False
Which technique involves using scheduled tasks to ensure persistence and maintain access on a system?,"['Scheduled Task (T1053)', 'Registry Run Keys (T1060)', 'Process Injection (T1055)', 'Remote File Copy (T1105)']",A,A,True
An adversary may construct a new logon script to establish persistence on a network. Which of the following can help mitigate this?,"['Monitor for changes made in Active Directory', 'Monitor for newly constructed files by unusual accounts', 'Monitor for changes made to files for unexpected modifications', 'Monitor for newly constructed processes and/or command-lines that execute logon scripts']",B,D,False
"Which NIST CSF function includes the identification, establishment, and management of cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement?","['GV.RR-01', 'GV.RM-01', 'GV.SC-07', 'GV.PO-01']",A,D,False
Which malware family has a browser info stealer module that can read Chrome and Edge browser database files?,"['RedLine', 'Vawtrak', 'PowerLess', 'Cryptolocker']",C,B,False
Which of the following is a way to define who can create a process level token?,"['GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Create a process level token', 'GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Create a token object', 'GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Create a user account', 'GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Create a process level token']",D,D,True
"In a domain-controlled environment, an adversary has compromised a high-level system's service account. The organization has implemented multi-factor authentication (MFA) for all service accounts. The adversary aims to:","['Gain initial access', 'Perform privilege escalation', 'Perform lateral movement', 'Bypass MFA and gain access to the service account']",D,D,True
Which planning framework is highly complementary with the Diamond Model of Intrusion Analysis according to the paper?,"['A. Cyber Kill Chain', 'B. NIST Cybersecurity Framework', 'C. Joint Intelligence Preparation of the Battlespace', 'D. MITRE ATT&CK']",C,D,False
An attacker has compromised a system within an organization and has gained persistence by creating a scheduled task that will execute the malicious payload. What MITRE ATT&CK technique is being used in this scenario?,"['Persistence: registry run keys (T1547.002)', 'Persistence: scheduled tasks (T1548)', 'Defense Evasion: Obfuscated Files or Information (T1025)', 'Initial Access: Exploitation of Remote Services (T1110)']",B,B,True
What is the purpose of Appendix E in the document?,"['A. To provide lists of suggested data fields to collect for each incident', 'B. To contain incident response scenarios and questions for use in incident response tabletop discussions', 'C. To identify resources that may be useful in planning and performing incident response', 'D. To contain a change log listing significant changes since the previous revision']",C,C,True
How do malicious applications abuse OAuth access tokens to gain access to target email accounts?,"['By using the user-granted REST API to perform functions such as email searching and contact enumeration', 'By exploiting vulnerabilities in email servers', 'By intercepting network traffic to steal access tokens', 'By using social engineering tactics to obtain credentials']",D,A,False
Which malware is known for recording the victim's screen content on targeted systems?,"['AsyncRAT', 'Bandook', 'NanoCore', 'EvilGrab']",D,B,False
"Which of the following components of the NIST Cybersecurity Framework (CSF) provides actionable guidance on using the CSF and its online resources, including transitioning from previous CSF versions to version 2.0?","['CSF Tiers', 'CSF Core', 'Quick-Start Guides', 'CSF Organizational Profiles']",C,C,True
Which of the following best describes a table-top exercise in incident response?,"['A simulated scenario where team members discuss response actions', 'A real-time simulation of an incident', 'An analysis of past incidents', 'A training session on new tools']",A,A,True
How can access abuse over an API channel be difficult to detect from the service provider end?,"['Access can still align well with a legitimate workflow', 'Access is always flagged by security systems', 'Access is restricted to specific IP addresses', 'Access is encrypted and obfuscated']",A,A,True
What is the purpose of the Sarbanes-Oxley Act (SOX)?,"['To implement the requirements set forth in Title 32 Code of Federal Regulations, Part 236, Sections 236.4 through 236.6', 'To establish information sharing rules between organizations in the financial sector', 'To establish legal and privacy compliance for financial information shared within financial institutions', 'To implement the requirements of the Federal Information Security Modernization Act of 2014 (FISMA)']",C,A,False
What is the purpose of Triton malware in compromising safety systems?,"['To gain unauthorized access to operational networks', 'To cause process disruptions', 'To disable security measures', 'To steal sensitive data']",C,B,False
Which action is recommended for preparing designated contacts for media interactions regarding incidents?,"['Pre-approval', 'Review and Training', 'Immediate Response', 'Regular Updates']",A,B,False
What is the name of a tool used by Peirates to switch between valid service accounts?,"['Peirates uses stolen service account tokens to perform its operations and switch between valid service accounts', 'Stuxnet', 'Emotet', 'Cobalt Strike']",A,A,True
Which of the following is NOT a method used by adversaries to create a valid Kerberos ticket?,"['Pass the ticket', 'Overpass the hash', 'Pass the hash', 'Kerberos ticket creation']",D,D,True
Which of the following is a component of the NIST Cybersecurity Framework (CSF) 2.0?,"['CSF Core', 'CSF Profiles', 'CSF Tiers', 'Online Resources']",A,A,True
Which MITRE ATT&CK technique involves an adversary using encryption to obscure malicious payloads from detection?,"['Obfuscated Files or Information (T1027)', 'Encrypted Channel (T1071)', 'Data Encrypted (T1040)', 'Software Packing (T1045)']",A,C,False
Which of the following is a potential drawback of participating in information sharing communities?,"['Potentially much larger costs of successful attacks can be avoided', 'Sharing communities can help an organization improve its threat intelligence capabilities', 'Sharing communities can provide access to real-time threat information', 'Sharing communities can potentially expose an organization to more attacks']",D,D,True
What technique involves using a compromised account to gain access to systems and perform actions remotely?,"['Remote Desktop Protocol (T1076)', 'Valid Accounts (T1078)', 'Process Injection (T1055)', 'Remote File Copy (T1105)']",B,B,True
What is the preferred protocol for C2 communications for the QakBot malware?,"['a) FTP', 'b) SMTP', 'c) IRC', 'd) HTTP']",C,C,True
Which of the following is a method used by Drinik to communicate with the C2 server using Firebase Cloud Messaging?,"['Sending encrypted messages', 'Sending raw JSON messages', 'Sending compressed messages', 'Sending HTTP requests with custom headers']",B,B,True
Which of the following is an example of an adversary hijacking legitimate application-specific startup scripts to enable malware to execute on system startup?,"['APT28', 'APT29', 'APT32', 'APT33']",B,A,False
What is Bad Rabbit ransomware and how does it spread?,"[""Bad Rabbit is a drive-by compromise where a user's web browser is targeted and exploited due to visiting a compromised website."", 'Bad Rabbit is a technique used by adversaries to inject malicious scripts into a legitimate website.', 'Bad Rabbit is a ransomware that spreads through drive-by attacks where insecure websites are compromised.', 'Bad Rabbit is a method to contain web-based malware using built-in browser sandboxes and application isolation.']",C,C,True
BOULDSPY can encrypt its data before exfiltration using which of the following encryption methods?,"['A) RC4', 'B) zlib', 'C) XOR', 'D) AES in CBC mode']",A,B,False
Which MITRE ATT&CK technique involves using legitimate remote access tools to maintain persistence?,"['Remote Desktop Protocol (T1076)', 'Remote File Copy (T1105)', 'Credential Dumping (T1003)', 'Remote Code Execution (T1203)']",A,D,False
A threat actor has compromised a system within a government agency and is exfiltrating sensitive data to an external server. Which MITRE ATT&CK technique is being used in this scenario?,"['Defense Evasion: Data Compression (T1027)', 'Lateral Movement: Remote Desktop Protocol (T1021)', 'Exfiltration: Exfiltration over Command and Control (C2) (T1041.001)', 'Initial Access: Phishing (T1566)']",C,C,True
An attacker is using ShiftyBug to auto-root an Android device and maintain persistence. They are most likely to:,"['a) Modify the bootloader.', 'b) Install malware on the system partition.', 'c) Create a malicious system app.', ""d) Encrypt the device's files.""]",B,C,False
What should be done to prevent the recurrence of similar incidents?,"['Implementing lessons learned from the incident', 'Upgrading to new software', 'Changing passwords frequently', 'Improving physical security']",A,A,True
What is the name of an Android API that grants access to the device microphone?,"['A) RECORD_AUDIO', 'B) CAPTURE_AUDIO_OUTPUT', 'C) MICROPHONE_PERMISSION', 'D) ACCESS_MICROPHONE']",A,A,True
"In MITRE ATT&CK, which technique involves using scheduled tasks to ensure a malicious payload is executed periodically?","['Scheduled Task (T1053)', 'Registry Run Keys (T1060)', 'Remote File Copy (T1105)', 'Web Shell (T1505)']",A,A,True
Which MITRE ATT&CK technique is used to establish persistence through scheduled tasks or cron jobs?,"['Scheduled Task (T1053)', 'Registry Run Keys (T1060)', 'File and Directory Discovery (T1083)', 'Remote File Copy (T1105)']",A,A,True
Which malware uses Google Cloud Messaging (GCM) for command and control?,"['Trojan-SMS.AndroidOS.FakeInst.a', 'Trojan-SMS.AndroidOS.OpFake.a', 'Trojan-SMS.AndroidOS.Agent.ao', 'TrickMo']",A,B,False
Which MITRE ATT&CK technique is best associated with weakening encryption key strength?,"['T1078: Valid Accounts', 'T1110: Exploit Public-Facing Application', 'T1600: Data Encrypted', 'T1600.001: Decrypt Existing Encrypted Files/Volume']",D,D,True
Disabling dedicated hardware encryption on network devices,"['Prevents data exfiltration', 'Enables data exfiltration', 'Increases encryption key space', 'Decreases encryption key space']",B,D,False
6. Which of the following should be used for all remote or local management sessions on field controllers to help ensure the security of the system?,"['A) Account Use Policies', 'B) Password Policies', 'C) User Account Management', 'D) All of the above']",D,D,True
Which of the following is not a common password storage location?,"['A. Keychain (iOS)', 'B. Windows Credential Manager', 'C. Secure Notes (Android)', 'D. Password Manager (Apple)']",D,D,True
"According to the provided scenario, how can segments be used to restrict access to critical system functions?","['By restricting access to specific segments', 'By isolating critical systems', 'By implementing traffic shaping', 'By implementing access controls']",A,D,False
Which MITRE ATT&CK technique does an adversary use when using forums for command and control?,"['T1098', 'T1086', 'T1105', 'T1102']",D,B,False
21. Which of the following is an example of a network protocol that should be monitored for unusual activity in an ICS environment?,"['A. HTTP', 'B. SMTP', 'C. Modbus', 'D. FTP']",C,C,True
"Which MITRE ATT&CK technique is used to maintain persistence on a compromised system by creating or modifying a scheduled task, service, or startup script?","['T1086: PowerShell', 'T1078: Valid Accounts', 'T1087: Lateral Movement', 'T1550: Persistence - Windows Service']",D,D,True
What MITRE ATT&CK technique is associated with the creation and use of attack graphs?,"['A. H0007 - Modeling', 'B. T1078 - Valid Accounts', 'C. T1137 - Remote Services', 'D. T1087 - Network Service Discovery']",A,A,True
Which of the following is a technique that an attacker may use to gain initial access to a target system?,"['Data Encryption', 'Network Scanning', 'Privilege Escalation', 'Initial Access']",D,D,True
An organization is sharing IOCs related to a new threat with its peers as part of a formal threat information sharing organization. Which of the following is a recommended practice for protecting sensitive data in the exchanges?,"['Use unencrypted network communications to share the data.', 'Use a standard data format for the exchange of indicators.', 'Use encrypted network communications to share the data.', 'Share the data via email or instant messaging services.']",C,C,True
Which malware is known for taking photos from the computer's web camera?,"['Machete', 'NanoCore', 'PoetRAT', 'Pupy']",A,A,True
Which MITRE ATT&CK technique involves using a legitimate service to maintain persistence and avoid detection?,"['Remote File Copy (T1105)', 'Process Injection (T1055)', 'Valid Accounts (T1078)', 'Scheduled Task (T1053)']",A,C,False
Which MITRE ATT&CK technique involves using a remote desktop service to interact with and control a compromised system?,"['Remote Desktop Protocol (T1076)', 'Remote File Copy (T1105)', 'Valid Accounts (T1078)', 'Process Injection (T1055)']",A,A,True
Scenario 7: Which of the following best describes a common approach for improving an organization's incident response capability?,"['Conducting regular tabletop exercises', 'Implementing advanced threat detection technologies', 'Enhancing employee training and awareness programs', 'All of the above']",D,D,True
3. Which of the following techniques does Stuxnet use to infect PLCs with different code depending on the characteristics of the target system?,"['A) Data Block', 'B) Online edit', 'C) Program append', 'D) Program Download']",A,C,False
An adversary gains Defense Evasion by using default credentials to authenticate to a system. Which MITRE ATT&CK technique is associated with this action?,"['T1055: Defense Evasion', 'T1087: Keyboard Input Capture', 'T1078: Valid Accounts: Account Manipulation', 'T1077: Credential Dumping']",A,C,False
12. Which of the following is a technique used by Stuxnet to infect PLCs with different code depending on the characteristics of the target system?,"['A) Data Block', 'B) Function', 'C) Function Block', 'D) Program append']",A,D,False
Which of the following is a benefit of using TAXII bindings?,"['It allows a party to make use of the services and messages of TAXII with a constrained set of protocols or formats', 'It provides a standardized way for platforms to interact with TAXII', 'It limits the exchange of threat intelligence data to specific parties', 'It enforces access controls on TAXII services']",A,A,True
Scenario 6: Which of the following is a potential outcome of the US-CERT's actions in this scenario?,"['The targeted companies are able to prevent further attacks', 'The foreign actor is identified and prosecuted', 'The targeted companies are not affected by the attacks', 'The US-CERT is able to neutralize the threat by shutting down the servers used by the foreign actor']",A,D,False
Which of the following is not part of an organization’s support plan for information sharing activities?,"['Identify the personnel, funding, infrastructure, and processes needed for ongoing operational support', 'Acquire and deploy a monitoring and threat detection infrastructure', 'Provide funding for the personnel, infrastructure, and training required for ongoing operational support', 'Engage in ongoing communication']",B,B,True
Which of the following describes a preventive control that may be ineffective against the weakening of encryption key strength?,"['Application Whitelisting', 'Intrusion Detection Systems', 'Multi-Factor Authentication', 'Network Segmentation']",D,B,False
Which incident response team member is responsible for the quality of the team’s technical work?,"['Team Manager', 'Deputy', 'Technical Lead', 'Incident Lead']",C,C,True
An adversary may use a network logon script to maintain persistence on a network. Which of the following is the best way to mitigate this?,"['Prevent users from creating logon scripts', 'Monitor for changes made in Active Directory', 'Restrict write access to logon scripts to specific administrators', 'Set up two-factor authentication for all users']",C,D,False
